Nome,Popolazione,Salario,Occupazione,Istruzione,Affitto,Servizi,Latitudine,Longitudine,FattoreFamiliare,%Laureati,Disoccupazione_Laurea,Disoccupazione_Diploma
Piemonte,4.3,2300,75,0.24,1200,8.5,45.0703,7.6869,1.17,24.0,2.4,5.4
Valle d'Aosta,0.1,2200,77,0.21,1600,9.4,45.7374,7.3201,1.05,21.0,2.1,3.2
Lombardia,10.0,2800,80,0.28,1800,9.5,45.4668,9.1905,1.19,28.0,2.5,3.5
Liguria,1.5,2000,73,0.20,1100,8.5,44.4056,8.9463,1.07,20.0,3.0,4.4
Trentino-Alto Adige,1.1,2500,82,0.25,1500,9.8,46.0689,11.1211,1.42,25.0,1.8,2.3
Veneto,4.9,2300,78,0.25,1400,9.0,45.4343,12.3388,1.18,25.0,2.0,2.8
Friuli-Venezia Giulia,1.2,2200,76,0.22,1300,8.8,45.6495,13.7768,1.16,22.0,2.3,3.0
Emilia-Romagna,4.4,2400,79,0.27,1600,9.2,44.4949,11.3426,1.15,27.0,3.2,3.5
Toscana,3.7,2100,75,0.26,1400,9.0,43.7696,11.2558,1.14,26.0,3.1,4.0
Umbria,0.9,1900,72,0.19,900,8.0,43.1122,12.3888,1.12,19.0,2.8,5.4
Marche,1.5,2000,74,0.19,950,8.2,43.6167,13.5167,1.14,19.0,2.9,5.7
Lazio,5.9,2500,75,0.30,1500,9.5,41.9028,12.4964,1.24,30.0,3.5,7.0
Abruzzo,1.3,1600,65,0.16,700,6.5,42.3512,13.3984,1.21,16.0,6.5,9.0
Molise,0.3,1200,55,0.12,500,5.0,41.5600,14.6600,1.18,12.0,5.2,8.1
Campania,5.8,1400,50,0.14,800,6.0,40.8518,14.2681,1.31,14.0,5.5,14.0
Puglia,4.0,1500,55,0.15,750,6.2,41.1171,16.8719,1.25,15.0,5.0,10.2
Basilicata,0.6,1300,58,0.13,550,5.5,40.6395,15.8050,1.12,13.0,4.9,7.1
Calabria,1.9,1200,45,0.12,500,4.5,38.9050,16.5940,1.23,12.0,8.5,14.2
Sicilia,5.0,1300,48,0.13,600,5.5,38.1157,13.3615,1.27,13.0,5.0,12.5
Sardegna,1.6,1400,52,0.14,650,6.0,39.2238,9.1217,0.91,14.0,3.7,9.3
