id_agente,categoria,origine,destinazione,famiglia,anni_stab,anni_lavoro,attrattivita,soglia,eta,emigrato,gravity,pp,uty_T,anno
24781,Lavoratore_Laurea,Molise,Lombardia,true,3,3,0.3830,0.9142,38,false,0.0022,0.8090,0.4467,1
36156,Lavoratore_Laurea,Umbria,Friuli-Venezia Giulia,false,1,1,0.1292,0.3001,24,false,0.0042,0.2002,0.1483,1
39769,Lavoratore_Diploma,Sicilia,Umbria,true,4,4,0.1060,0.9185,36,false,0.0057,0.2876,0.0000,1
29256,Lavoratore_Diploma,Basilicata,Piemonte,true,8,8,0.2431,1.1745,31,false,0.0010,0.5738,0.1777,1
33529,Disoccupato_Diploma,Marche,Emilia-Romagna,false,0,20,0.0291,0.2502,45,false,0.0394,0.2476,-0.2063,1
25639,Lavoratore_Diploma,Campania,Lombardia,true,5,5,0.2735,1.1185,50,false,0.0405,0.7062,0.0088,1
22304,Lavoratore_Diploma,Veneto,Emilia-Romagna,false,5,5,0.1786,0.4572,25,false,0.3774,0.1028,0.1102,1
22141,Lavoratore_Diploma,Veneto,Emilia-Romagna,true,20,20,0.1900,0.7016,48,false,0.3774,0.0702,0.0000,1
27600,Lavoratore_Diploma,Puglia,Lazio,false,1,1,0.4685,0.5646,25,false,0.0392,0.7295,0.5160,1
38190,Lavoratore_Diploma,Emilia-Romagna,Umbria,true,11,11,-0.0846,0.6662,44,false,0.0432,-0.2876,0.0000,1
32733,Lavoratore_Laurea,Lombardia,Friuli-Venezia Giulia,true,3,3,-0.1648,0.7977,40,false,0.0187,-0.3659,-0.2030,1
37419,Lavoratore_Diploma,Valle d'Aosta,Abruzzo,true,15,15,-0.1033,1.1832,53,false,0.0001,-0.2872,0.0000,1
22697,Lavoratore_Diploma,Veneto,Emilia-Romagna,true,28,28,0.1900,0.8450,58,false,0.3774,0.0702,0.0000,1
36964,Lavoratore_Diploma,Umbria,Puglia,true,26,26,-0.0508,1.1796,60,false,0.0049,-0.1471,0.0000,1
27845,Lavoratore_Laurea,Puglia,Lombardia,true,3,3,0.3369,1.0311,38,false,0.0169,0.6631,0.4467,1
27811,Lavoratore_Diploma,Puglia,Toscana,true,6,6,0.1558,0.8560,29,false,0.0126,0.3720,0.0000,1
28353,Lavoratore_Diploma,Piemonte,Abruzzo,true,5,5,-0.1634,0.9988,35,false,0.0046,-0.3591,-0.1777,1
25110,Lavoratore_Diploma,Campania,Toscana,true,15,15,0.1441,0.8999,43,false,0.0401,0.3519,0.0000,1
33867,Lavoratore_Diploma,Marche,Lazio,true,5,5,0.1425,0.7048,46,false,0.0730,0.3035,0.0069,1
32854,Lavoratore_Diploma,Lombardia,Liguria,true,7,7,0.0527,0.6701,40,false,0.4150,-0.3569,0.0000,1
29608,Lavoratore_Diploma,Basilicata,Lombardia,true,13,13,0.2860,1.1986,50,false,0.0029,0.7864,0.0088,1
22884,Lavoratore_Diploma,Veneto,Trentino-Alto Adige,true,13,13,0.1123,0.6094,36,false,0.0938,0.1518,0.0823,1
27014,Lavoratore_Diploma,Puglia,Marche,false,1,1,0.2127,0.6387,34,false,0.0112,0.2531,0.3725,1
34491,Lavoratore_Diploma,Liguria,Veneto,true,3,3,0.0356,0.8251,49,false,0.0192,0.0755,0.0000,1
26996,Lavoratore_Diploma,Abruzzo,Umbria,true,13,13,0.0367,0.6920,51,false,0.0240,0.0729,0.0000,1
24347,Lavoratore_Diploma,Molise,Piemonte,false,3,3,0.6090,0.7570,22,false,0.0007,0.8347,0.8247,1
28236,Lavoratore_Diploma,Piemonte,Emilia-Romagna,false,1,1,-0.0461,0.5125,24,false,0.0454,0.0012,-0.1622,1
22427,Lavoratore_Diploma,Veneto,Lazio,true,22,22,0.0824,0.9516,53,false,0.0760,0.1368,0.0000,1
