Nome,Popolazione,Salario,Occupazione,Istruzione,Affitto,Servizi,Latitudine,Longitudine,FattoreFamiliare,%Laureati,Disoccupazione_Laurea,Disoccupazione_Diploma
Piemonte,4.3,2200,75,0.2,750,8.0,45.0703,7.6869,1.17,28.80,2.6,5.5
Valle d'Aosta,0.1,2100,72,0.19,1100,8.3,45.7374,7.3201,1.05,28.90,2.1,3.2
Lombardia,10.0,2500,78,0.22,1200,8.5,45.4668,9.1905,1.19,31.8,2.8,3.7
Liguria,1.5,2000,70,0.18,900,7.5,44.4056,8.9463,1.07,29.10,3.5,4.9
Trentino-Alto Adige,1.1,2300,90,0.21,950,8.8,46.0689,11.1211,1.42,31,1.8,2.3
Veneto,4.9,2100,76,0.2,984,8.2,45.4343,12.3388,1.18,33.70,2,2.8
Friuli-Venezia Giulia,1.2,2000,73,0.19,760,8.0,45.6495,13.7768,1.16,30.20,2.7,3.9
Emilia-Romagna,4.4,2200,76,0.21,1000,8.5,44.4949,11.3426,1.15,34.10,3.7,3.5
Toscana,3.7,2000,72,0.19,900,8.3,43.7696,11.2558,1.14,29.20,2.9,4
Umbria,0.9,1800,68,0.18,580,7.0,43.1122,12.3888,1.12,33.70,2.4,5.4
Marche,1.5,1900,71,0.18,660,7.2,43.6167,13.5167,1.14,30.90,2.6,5.7
Lazio,5.9,2300,72,0.22,1180,8.5,41.9028,12.4964,1.24,32.20,3.1,7.4
Abruzzo,1.3,1700,65,0.17,600,6.5,42.3512,13.3984,1.21,30.20,5.5,9.0
Molise,0.3,1400,60,0.15,500,5.5,41.56,14.66,1.18,31,4,8.1
Campania,5.8,1500,72,0.16,700,6.0,40.8518,14.2681,1.31,23.70,5.6,14.0
Puglia,4.0,1600,60,0.16,650,6.2,41.1171,16.8719,1.25,23.20,5,10.4
Basilicata,0.6,1400,60,0.15,500,5.5,40.6395,15.805,1.12,27.40,5.2,7.1
Calabria,1.9,1300,50,0.15,450,5.0,38.905,16.594,1.23,22.90,8.9,14.6
Sicilia,5.0,1400,60,0.16,500,5.5,38.1157,13.3615,1.27,20.10,5.3,12.5
Sardegna,1.6,1500,55,0.17,500,5.8,39.2238,9.1217,0.91,22.30,3.7,9.3
